tyre_code,ply_rating,speed_rating_mph,rated_load_lbs,inflation_pressure_psi,tire_mass_lbs,nitrogen_mass_lbs,do_max_in,ds_max_in,w_max_in,ws_max_in,aspect_ratio,static_radius_min_in,static_radius_max_in,wheel_size,rim_width_in,rim_diameter_in,flange_height_in,min_ledge_width_in
16x4.4R8,10,190,"2,900",155,10,0.3,16.4,14.9,4.65,4.1,0.9,6.8,7.05,16x4.4R8,3.5,8,0.81,1.2
18x5.5R8,8,160,"3,050",105,10,0.4,18.4,16.65,6,5.25,,7.55,7.9,18x5.5,4.25,8,0.88,1.25
14.5x5.5R6,,225,"3,250",177,8,0.4,15,13.4,5.75,5.05,0.77,6.15,6.45,,4.25,6,0.88,1.5
17.5x5.75R8,,225,"3,375",145,11,0.4,18,17,6,5.26,0.83,7.54,7.88,,4.25,8,0.88,1.4
16x4.4R8,12,190,"3,525",207,10,0.4,16.4,14.9,4.65,4.1,0.9,6.9,7.2,16x4.4,3.5,8,0.81,1.2
435x190R5,10,190,"3,600",87,,0.4,18.2,15.7,8,7.15,0.81,6.85,7.3,,6.3,5,0.71,1.25
16x6.0R6,12,225,"4,375",164,11,0.5,16.55,15.5,6.25,5.65,,6.65,7,,4.75,6,0.88,1.6
20x4.4R12,14,190,"6,000",265,14,0.6,20.4,19.8,4.65,4.1,0.9,8.75,9.05,20x4.4,3.5,12,0.81,1
21x7.25R10,12,225,"6,400",166,,0.9,21.9,19.75,7.5,6.6,0.78,9,9.4,22x6.6,5.5,10,1,1.95
21x7.25R10,14,225,"7,600",198,,1.1,21.9,19.75,7.5,6.6,0.78,9.05,9.4,22x6.6,5.5,10,1,1.95
26x7.75R13,10,230,"8,100",125,27,1.2,27.36,24.47,8.32,7.54,,10.6,11.39,26x7.75-13,6.5,13,0.7,1.6
26x6.6R14,12,190,"8,600",185,26,1.2,26.32,24.02,6.92,6.08,,11.15,11.6,26x6.6,5,14,1,1.7
32x8.8R16,10,190,"9,000",115,,1.6,31.8,28.7,9.25,8.2,0.84,13,13.6,32x8.8,7,16,1.13,1.5
23.5x8.0R12,14,190,"9,425",212,24,1.5,24.25,23,8.35,7.5,0.72,10.1,10.55,23.5x8.0R12,6.25,12,1,2.15
27x7.75R15,12,225,"9,650",200,38,1.7,27.7,25.4,8.1,7.15,,11.75,12.2,29x7.7,6,15,1,1.65
24x7.7R10,16,225,"9,725",165,24,1.3,24.8,22.05,8,7.05,,9.95,10.5,24x7.7,5.5,10,0.91,1.7
26x6.6R14,14,225,"10,000",225,27,1.5,26.32,24.02,6.92,6.08,,11.15,11.6,26x6.6,5,14,1,1.7
25.75x6.75R14,14,210,"10,300",237,,1.6,26.35,25.15,7.05,6.35,0.87,11.2,11.6,25.75x6.75R14,5,14,1,1.7
25.75x6.75R14,14,210,"10,300",199,26,1.3,26.35,25.15,7.05,6.35,,11.2,11.6,26x6.6,5,14,1,1.7
32x8.8R16,12,190,"11,000",140,45,1.9,31.8,28.7,9.25,8.2,0.84,13,13.6,32x8.8,7,16,1.13,1.65
H34x10.0R16,14,190,"13,400",130,57,2.6,34.85,32.95,10.4,9.35,,14,14.75,32x8.8,7,16,1.13,2.15
29x7.7R15,16,225,"13,800",230,31,2.2,29.1,26.55,8.2,7.2,0.85,12.2,12.7,29x7.7,6,15,1,1.65
30x8.8R15,16,225,"14,200",199,52,2.6,31.1,29.5,9.3,8.3,,12.9,13.5,30x8.8,7,15,1.13,2.1
25.5x8.0R14,20,250,"16,200",310,40,2.4,26.65,23.28,8.04,6.89,,10.94,11.35,25.5x8.0-14,5.75,14,1,2.1
H32x10.5R16.5,16,225,"17,450",183,44,3.2,32.95,31.3,10.95,9.85,,13.3,13.9,H32x10.5R16.5,6.75,16.5,1.1,2.11
H33x10.5R17,18,225,"19,525",201,,3.7,33.95,32.25,10.95,9.85,0.77,13.9,14.55,H33x10.5R17,6.75,17,1.1,2.28
H34x9.5R18,18,225,"19,550",221,,3.6,34.8,33.15,9.65,8.7,0.85,14.45,15.05,H34x9.5R18,6,18,1.2,2.28
915x300R16,20,225,"21,000",186,,4.9,37,34.9,12.3,10.8,0.84,14.7,15.43,,9,16,1.38,2.6
H35x11.0R18,20,225,"23,400",216,,4.6,35.97,34.17,11.44,10.3,0.78,14.8,15.4,H35x11.0R18,7,18,1.2,2.45
30x11.5R14.5,24,236,"25,000",302,66,5,30.75,27.82,11.96,10.5,,12,12.65,30x11.5-14.5,9.75,14.5,1.25,2.75
H38x13.0R18,20,225,"25,075",172,,5.5,39.15,37.05,13.55,12.2,0.77,15.75,16.5,H38x13.0R18,8.5,18,1.2,2.4
H38x12.0R19,20,225,"25,275",192,,5.4,39.1,37.05,12.5,11.25,0.8,15.95,16.65,H38x12.0R19,7.75,19,1.3,2.73
H37.5x12.0R19,20,225,"25,600",212,,5.9,39.1,37.05,12.5,11.25,0.77,15.8,16.5,H37.5x12.0R19,7.75,19,1.33,2.45
40x14.0R16,24,225,"27,700",170,136.4,6.9,41.02,36.08,14.56,12.48,0.86,16.4,17.3,40x14,11,16,1.63,2.95
H38x13.0R18,22,,"27,725",190,6,39.15,37.05,13.55,12.2,0.77,15.75,16.5,,H38x13.0R18,8.5,18,1.2,2.4
H39x12.0R19,22,225,"28,225",203,6.1,40.05,37.95,12.5,11.25,0.84,16.35,17.15,,H39x12.0R19,7.75,19,1.33,2.62
40x16.0R16,26,,"31,475",180,115,8.5,41.45,38.9,16.65,15,16.5,17.4,,40x16.0R16,12.5,16,1.75,2.96
H40x14.5R19,24,225,"32,200",200,137.1,7.8,41.3,39.05,15.1,13.06,0.73,16.6,17.4,,9.5,19,1.4,3.1
H41x16.0R20,22,225,"32,825",187,129,8.4,42.4,40.15,16.65,15,,17.1,17.9,H41x16.0R20,10.5,20,1.4,2.8
1050x395R16,28,235,"34,200",190,131,9.3,42.65,40,16.15,14.2,,16.6,17.55,40.5x15.5-16,11.5,16,1.75,3.5
42x17.0R18,26,235,"36,100",194,,10.4,43.5,40.95,17.7,15.95,0.71,17.42,18.33,,14,18,1.63,3.3
